Datetime,Water Level (m)
2023-02-23 12:00:00,0.13202128
2023-02-23 13:00:00,-0.049568515
2023-02-23 14:00:00,-0.23381339
2023-02-23 15:00:00,-0.4063741
2023-02-23 16:00:00,-0.5469361
2023-02-23 17:00:00,-0.544786
2023-02-23 18:00:00,-0.2674165
2023-02-23 19:00:00,-0.0289351
2023-02-23 20:00:00,0.20437908
2023-02-23 21:00:00,0.44235224
2023-02-23 22:00:00,0.57964003
2023-02-23 23:00:00,0.40686947
2023-02-24 00:00:00,0.17388356
2023-02-24 01:00:00,-0.013707338
2023-02-24 02:00:00,-0.20851569
2023-02-24 03:00:00,-0.38981375
2023-02-24 04:00:00,-0.55148774
2023-02-24 05:00:00,-0.6266381
2023-02-24 06:00:00,-0.43515423
2023-02-24 07:00:00,-0.16695686
2023-02-24 08:00:00,0.04102077
2023-02-24 09:00:00,0.24405445
2023-02-24 10:00:00,0.41549447
2023-02-24 11:00:00,0.38504556
2023-02-24 12:00:00,0.1840815
2023-02-24 13:00:00,0.011514244
2023-02-24 14:00:00,-0.16942222
2023-02-24 15:00:00,-0.34194642
2023-02-24 16:00:00,-0.49521047
2023-02-24 17:00:00,-0.59401876
2023-02-24 18:00:00,-0.45986456
2023-02-24 19:00:00,-0.18564254
2023-02-24 20:00:00,0.006445476
2023-02-24 21:00:00,0.20115231
2023-02-24 22:00:00,0.32729295
2023-02-24 23:00:00,0.3083052
2023-02-25 00:00:00,0.10906948
2023-02-25 01:00:00,-0.051019695
2023-02-25 02:00:00,-0.2268874
2023-02-25 03:00:00,-0.39982116
2023-02-25 04:00:00,-0.5627634
2023-02-25 05:00:00,-0.6783797
2023-02-25 06:00:00,-0.6434078
2023-02-25 07:00:00,-0.38309413
2023-02-25 08:00:00,-0.16760182
2023-02-25 09:00:00,0.034739178
2023-02-25 10:00:00,0.20305935
2023-02-25 11:00:00,0.27148747
2023-02-25 12:00:00,0.1898728
2023-02-25 13:00:00,0.012031335
2023-02-25 14:00:00,-0.14125866
2023-02-25 15:00:00,-0.3008128
2023-02-25 16:00:00,-0.4541846
2023-02-25 17:00:00,-0.58036464
2023-02-25 18:00:00,-0.58416075
2023-02-25 19:00:00,-0.36566654
2023-02-25 20:00:00,-0.17421748
2023-02-25 21:00:00,-0.0074778376
2023-02-25 22:00:00,0.13574287
2023-02-25 23:00:00,0.17500922
2023-02-26 00:00:00,0.06579655
2023-02-26 01:00:00,-0.09991095
2023-02-26 02:00:00,-0.25008893
2023-02-26 03:00:00,-0.40760872
2023-02-26 04:00:00,-0.5634582
2023-02-26 05:00:00,-0.68113977
2023-02-26 06:00:00,-0.7220487
2023-02-26 07:00:00,-0.564064
2023-02-26 08:00:00,-0.34844872
2023-02-26 09:00:00,-0.16359887
2023-02-26 10:00:00,0.011058314
2023-02-26 11:00:00,0.1353909
2023-02-26 12:00:00,0.15285087
2023-02-26 13:00:00,0.04459531
2023-02-26 14:00:00,-0.10921592
2023-02-26 15:00:00,-0.249237
2023-02-26 16:00:00,-0.38980034
2023-02-26 17:00:00,-0.52095675
2023-02-26 18:00:00,-0.5823152
2023-02-26 19:00:00,-0.49109977
2023-02-26 20:00:00,-0.30116948
2023-02-26 21:00:00,-0.1626068
2023-02-26 22:00:00,-0.031551737
2023-02-26 23:00:00,0.05084196
2023-02-27 00:00:00,0.017381005
2023-02-27 01:00:00,-0.12039379
2023-02-27 02:00:00,-0.24992703
2023-02-27 03:00:00,-0.38590428
2023-02-27 04:00:00,-0.52416056
2023-02-27 05:00:00,-0.6390171
2023-02-27 06:00:00,-0.7053557
2023-02-27 07:00:00,-0.64703006
2023-02-27 08:00:00,-0.46223316
2023-02-27 09:00:00,-0.30523717
2023-02-27 10:00:00,-0.14464186
2023-02-27 11:00:00,-0.008644032
2023-02-27 12:00:00,0.070694335
2023-02-27 13:00:00,0.057171814
2023-02-27 14:00:00,-0.042087287
2023-02-27 15:00:00,-0.16797581
2023-02-27 16:00:00,-0.28858948
2023-02-27 17:00:00,-0.40090615
2023-02-27 18:00:00,-0.48738098
2023-02-27 19:00:00,-0.50280946
2023-02-27 20:00:00,-0.4005077
2023-02-27 21:00:00,-0.28105846
2023-02-27 22:00:00,-0.18664965
2023-02-27 23:00:00,-0.101885095
2023-02-28 00:00:00,-0.07743685
2023-02-28 01:00:00,-0.1498885
2023-02-28 02:00:00,-0.2599848
2023-02-28 03:00:00,-0.36216965
2023-02-28 04:00:00,-0.4708031
2023-02-28 05:00:00,-0.5744514
2023-02-28 06:00:00,-0.64467597
2023-02-28 07:00:00,-0.6604116
2023-02-28 08:00:00,-0.5743982
2023-02-28 09:00:00,-0.43091607
2023-02-28 10:00:00,-0.30658954
2023-02-28 11:00:00,-0.17684016
2023-02-28 12:00:00,-0.07001629
2023-02-28 13:00:00,-0.008260386
2023-02-28 14:00:00,-0.009653176
2023-02-28 15:00:00,-0.069985345
2023-02-28 16:00:00,-0.16594234
2023-02-28 17:00:00,-0.26286525
2023-02-28 18:00:00,-0.35326207
2023-02-28 19:00:00,-0.4224459
2023-02-28 20:00:00,-0.45475918
2023-02-28 21:00:00,-0.43865076
2023-02-28 22:00:00,-0.381187
2023-02-28 23:00:00,-0.31617895
2023-03-01 00:00:00,-0.27129117
2023-03-01 01:00:00,-0.25353175
2023-03-01 02:00:00,-0.28049064
2023-03-01 03:00:00,-0.34120473
2023-03-01 04:00:00,-0.40807134
